Id,Predicted
0,0.40
1,0.28
2,0.34
3,0.34
4,0.88
5,0.28
6,0.46
7,0.47
8,0.47
9,0.63
10,0.60
11,0.51
12,0.37
13,0.60
14,0.88
15,0.88
16,0.88
17,0.47
18,0.60
19,0.37
20,0.46
21,0.88
22,0.34
23,0.51
24,0.47
25,0.51
26,0.60
27,0.41
28,0.51
29,0.60
30,0.34
31,0.37
32,0.60
33,0.47
34,0.37
35,0.47
36,0.47
37,0.60
38,0.37
39,0.88
40,0.60
41,0.40
42,0.60
43,0.40
44,0.88
45,0.47
46,0.60
47,0.16
48,0.40
49,0.47
50,0.28
51,0.16
52,0.28
53,0.37
54,0.37
55,0.47
56,0.47
57,0.40
58,0.40
59,0.51
60,0.60
61,0.47
62,0.16
63,0.88
64,0.88
65,0.63
66,0.60
67,0.41
68,0.28
69,0.41
70,0.63
71,0.88
72,0.88
73,0.40
74,0.16
75,0.88
76,0.60
77,0.47
78,0.60
79,0.28
80,0.63
81,0.28
82,0.16
83,0.88
84,0.28
85,0.88
86,0.41
87,0.51
88,0.40
89,0.88
90,0.51
91,0.88
92,0.51
93,0.28
94,0.88
95,0.47
96,0.40
97,0.51
98,0.88
99,0.46
100,0.40
101,0.51
102,0.16
103,0.63
104,0.63
105,0.41
106,0.37
107,0.34
108,0.46
109,0.63
110,0.16
111,0.51
112,0.37
113,0.60
114,0.34
115,0.46
116,0.41
117,0.60
118,0.16
119,0.37
120,0.28
121,0.88
122,0.28
123,0.47
124,0.40
125,0.16
126,0.63
127,0.63
128,0.60
129,0.88
130,0.16
131,0.88
132,0.28
133,0.41
134,0.51
135,0.60
136,0.16
137,0.37
138,0.41
139,0.63
140,0.60
141,0.51
142,0.60
143,0.88
144,0.88
145,0.47
146,0.47
147,0.60
148,0.63
149,0.37
150,0.37
151,0.88
152,0.16
153,0.47
154,0.47
155,0.41
156,0.16
157,0.63
158,0.47
159,0.34
160,0.28
161,0.41
162,0.40
163,0.28
164,0.51
165,0.41
166,0.28
167,0.40
168,0.88
169,0.40
170,0.34
171,0.40
172,0.51
173,0.46
174,0.34
175,0.51
176,0.40
177,0.28
178,0.60
179,0.46
180,0.47
181,0.51
182,0.88
183,0.51
184,0.40
185,0.41
186,0.47
187,0.63
188,0.60
189,0.60
190,0.60
191,0.41
192,0.63
193,0.37
194,0.47
195,0.16
196,0.47
197,0.63
198,0.16
199,0.28
200,0.47
