Id,Predicted
0,0.35
1,0.28
2,0.52
3,0.36
4,0.88
5,0.25
6,0.57
7,0.41
8,0.47
9,0.59
10,0.52
11,0.51
12,0.39
13,0.47
14,0.89
15,0.92
16,0.89
17,0.55
18,0.58
19,0.34
20,0.48
21,0.89
22,0.49
23,0.47
24,0.45
25,0.54
26,0.55
27,0.43
28,0.55
29,0.58
30,0.48
31,0.43
32,0.54
33,0.33
34,0.43
35,0.39
36,0.46
37,0.53
38,0.42
39,0.92
40,0.58
41,0.40
42,0.60
43,0.39
44,0.89
45,0.47
46,0.60
47,0.21
48,0.39
49,0.48
50,0.36
51,0.21
52,0.22
53,0.38
54,0.41
55,0.48
56,0.49
57,0.38
58,0.32
59,0.54
60,0.57
61,0.38
62,0.21
63,0.89
64,0.90
65,0.49
66,0.60
67,0.47
68,0.23
69,0.46
70,0.56
71,0.92
72,0.89
73,0.43
74,0.21
75,0.74
76,0.46
77,0.49
78,0.53
79,0.28
80,0.56
81,0.24
82,0.21
83,0.91
84,0.28
85,0.73
86,0.47
87,0.51
88,0.43
89,0.92
90,0.53
91,0.89
92,0.56
93,0.26
94,0.90
95,0.45
96,0.31
97,0.48
98,0.92
99,0.42
100,0.43
101,0.51
102,0.21
103,0.55
104,0.56
105,0.43
106,0.37
107,0.46
108,0.45
109,0.56
110,0.22
111,0.54
112,0.37
113,0.53
114,0.47
115,0.42
116,0.45
117,0.58
118,0.20
119,0.34
120,0.23
121,0.89
122,0.26
123,0.41
124,0.42
125,0.20
126,0.59
127,0.55
128,0.61
129,0.71
130,0.21
131,0.77
132,0.26
133,0.47
134,0.53
135,0.63
136,0.23
137,0.34
138,0.45
139,0.56
140,0.53
141,0.56
142,0.57
143,0.92
144,0.92
145,0.49
146,0.49
147,0.53
148,0.52
149,0.37
150,0.38
151,0.88
152,0.20
153,0.42
154,0.52
155,0.51
156,0.21
157,0.54
158,0.50
159,0.39
160,0.38
161,0.47
162,0.54
163,0.23
164,0.52
165,0.45
166,0.28
167,0.41
168,0.88
169,0.40
170,0.43
171,0.45
172,0.56
173,0.47
174,0.42
175,0.54
176,0.31
177,0.24
178,0.53
179,0.48
180,0.45
181,0.54
182,0.89
183,0.49
184,0.37
185,0.46
186,0.51
187,0.53
188,0.58
189,0.57
190,0.58
191,0.44
192,0.51
193,0.41
194,0.38
195,0.20
196,0.52
197,0.43
198,0.20
199,0.22
200,0.42
201,0.36
202,0.41
203,0.41
204,0.60
205,0.43
206,0.20
207,0.57
208,0.87
209,0.58
210,0.39
211,0.58
212,0.42
213,0.51
214,0.43
215,0.55
216,0.50
217,0.54
218,0.48
219,0.21
220,0.20
221,0.54
222,0.21
223,0.20
224,0.45
225,0.52
226,0.51
227,0.89
228,0.58
229,0.46
230,0.28
231,0.24
232,0.54
233,0.38
234,0.21
235,0.35
236,0.59
237,0.21
238,0.51
239,0.44
240,0.43
241,0.46
242,0.23
243,0.20
244,0.51
245,0.40
246,0.42
247,0.52
248,0.57
249,0.30
250,0.89
251,0.55
252,0.40
253,0.28
254,0.48
255,0.53
256,0.55
257,0.57
258,0.56
259,0.42
260,0.22
261,0.27
262,0.21
263,0.92
264,0.54
265,0.56
266,0.45
267,0.61
268,0.48
269,0.45
270,0.45
271,0.74
272,0.24
273,0.43
274,0.56
275,0.45
276,0.40
277,0.27
278,0.88
279,0.38
280,0.92
281,0.56
282,0.92
283,0.54
284,0.56
285,0.54
286,0.50
287,0.48
288,0.92
289,0.47
290,0.60
291,0.38
292,0.89
293,0.43
294,0.22
295,0.37
296,0.21
297,0.39
298,0.27
299,0.43
300,0.43
301,0.46
302,0.41
303,0.48
304,0.47
305,0.47
306,0.44
307,0.50
308,0.37
309,0.48
310,0.50
311,0.24
312,0.92
313,0.40
314,0.52
315,0.51
316,0.49
317,0.56
318,0.41
319,0.29
320,0.31
321,0.92
322,0.33
323,0.22
324,0.59
325,0.86
326,0.39
327,0.42
328,0.36
329,0.49
330,0.21
331,0.50
332,0.20
333,0.21
334,0.92
335,0.58
336,0.40
337,0.47
338,0.58
339,0.55
340,0.47
341,0.43
342,0.42
343,0.20
344,0.90
345,0.51
346,0.20
347,0.36
348,0.35
349,0.43
350,0.77
351,0.43
352,0.54
353,0.52
354,0.52
355,0.50
356,0.43
357,0.19
358,0.53
359,0.45
360,0.39
361,0.57
362,0.36
363,0.52
364,0.35
365,0.58
366,0.51
367,0.89
368,0.26
369,0.30
370,0.36
371,0.75
372,0.38
373,0.55
374,0.89
375,0.45
376,0.53
377,0.43
378,0.59
379,0.43
380,0.51
381,0.21
382,0.20
383,0.50
384,0.46
385,0.37
386,0.21
387,0.54
388,0.74
389,0.21
390,0.90
391,0.45
392,0.52
393,0.42
394,0.54
395,0.51
396,0.41
397,0.20
398,0.48
399,0.75
400,0.54
401,0.43
402,0.57
403,0.57
404,0.37
405,0.50
406,0.28
407,0.22
408,0.44
409,0.33
410,0.22
411,0.74
412,0.49
413,0.51
414,0.21
415,0.42
416,0.47
417,0.89
418,0.49
419,0.40
420,0.48
421,0.43
422,0.41
423,0.73
424,0.92
425,0.60
426,0.49
427,0.60
428,0.89
429,0.22
430,0.44
431,0.72
432,0.56
433,0.27
434,0.92
435,0.55
436,0.41
437,0.51
438,0.43
439,0.23
440,0.87
441,0.44
442,0.37
443,0.40
444,0.61
445,0.44
446,0.53
447,0.22
448,0.44
449,0.89
450,0.37
451,0.23
452,0.56
453,0.26
454,0.38
455,0.42
456,0.42
457,0.43
458,0.56
459,0.46
460,0.59
461,0.53
462,0.58
463,0.92
464,0.89
465,0.45
466,0.53
467,0.43
468,0.88
469,0.49
470,0.45
471,0.46
472,0.38
473,0.55
474,0.89
475,0.75
476,0.92
477,0.54
478,0.23
479,0.37
480,0.39
481,0.89
482,0.92
483,0.56
484,0.20
485,0.54
486,0.36
487,0.91
488,0.45
489,0.36
490,0.32
491,0.21
492,0.47
493,0.51
494,0.45
495,0.39
496,0.36
497,0.53
498,0.75
499,0.63
500,0.76
501,0.36
502,0.23
503,0.53
504,0.27
505,0.92
506,0.55
507,0.91
508,0.44
509,0.41
510,0.55
511,0.54
512,0.42
513,0.41
514,0.46
515,0.54
516,0.38
517,0.74
518,0.43
519,0.40
520,0.22
521,0.52
522,0.22
523,0.39
524,0.21
525,0.49
526,0.46
527,0.58
528,0.57
529,0.42
530,0.51
531,0.51
532,0.44
533,0.54
534,0.38
535,0.44
536,0.43
537,0.52
538,0.25
539,0.25
540,0.92
541,0.52
542,0.55
543,0.91
544,0.53
545,0.48
546,0.89
547,0.43
548,0.41
549,0.42
550,0.39
551,0.40
552,0.92
553,0.27
554,0.59
555,0.48
556,0.21
557,0.92
558,0.57
559,0.49
560,0.52
561,0.34
562,0.50
563,0.92
564,0.48
565,0.77
566,0.37
567,0.90
568,0.38
569,0.92
570,0.54
571,0.41
572,0.57
573,0.21
574,0.60
575,0.57
576,0.54
577,0.57
578,0.56
579,0.27
580,0.54
581,0.47
582,0.43
583,0.50
584,0.35
585,0.43
586,0.31
587,0.46
588,0.19
589,0.35
590,0.45
591,0.47
592,0.61
593,0.92
594,0.57
595,0.90
596,0.45
597,0.55
598,0.55
599,0.55
600,0.53
601,0.92
602,0.56
603,0.42
604,0.48
605,0.32
606,0.38
607,0.21
608,0.92
609,0.27
610,0.43
611,0.56
612,0.42
613,0.40
614,0.52
615,0.40
616,0.37
617,0.58
618,0.41
619,0.24
620,0.49
621,0.57
622,0.45
623,0.57
624,0.42
625,0.52
626,0.38
627,0.92
628,0.53
629,0.57
630,0.44
631,0.41
632,0.21
633,0.50
634,0.89
635,0.49
636,0.92
637,0.55
638,0.36
639,0.54
640,0.37
641,0.56
642,0.53
643,0.55
644,0.48
645,0.53
646,0.37
647,0.36
648,0.89
649,0.48
650,0.37
651,0.54
652,0.53
653,0.57
654,0.89
655,0.42
656,0.57
657,0.49
658,0.19
659,0.41
660,0.92
661,0.53
662,0.53
663,0.49
664,0.40
665,0.43
666,0.47
667,0.91
668,0.45
669,0.88
670,0.42
671,0.55
672,0.92
673,0.61
674,0.49
675,0.92
676,0.23
677,0.20
678,0.23
679,0.46
680,0.92
681,0.89
682,0.49
683,0.38
684,0.54
685,0.53
686,0.54
687,0.52
688,0.38
689,0.22
690,0.46
691,0.73
692,0.52
693,0.48
694,0.49
695,0.42
696,0.60
697,0.52
698,0.54
699,0.42
700,0.30
701,0.36
702,0.49
703,0.43
704,0.37
705,0.42
706,0.34
707,0.25
708,0.39
709,0.21
710,0.92
711,0.41
712,0.50
713,0.45
714,0.48
715,0.39
716,0.30
717,0.39
718,0.42
719,0.53
720,0.21
721,0.48
722,0.20
723,0.53
724,0.37
725,0.56
726,0.42
727,0.44
728,0.48
729,0.32
730,0.45
731,0.28
732,0.41
733,0.91
734,0.25
735,0.41
736,0.52
737,0.24
738,0.45
739,0.37
740,0.53
741,0.27
742,0.43
743,0.35
744,0.87
745,0.42
746,0.38
747,0.44
748,0.27
749,0.52
750,0.53
751,0.49
752,0.44
753,0.90
754,0.48
755,0.35
756,0.37
757,0.62
758,0.23
759,0.55
760,0.21
761,0.53
762,0.45
763,0.39
764,0.38
765,0.21
766,0.51
767,0.38
768,0.22
769,0.52
770,0.57
771,0.60
772,0.42
773,0.49
774,0.46
775,0.26
776,0.55
777,0.42
778,0.52
779,0.58
780,0.44
781,0.52
782,0.56
783,0.46
784,0.51
785,0.24
786,0.44
787,0.47
788,0.88
789,0.27
790,0.21
791,0.42
792,0.43
793,0.24
794,0.46
795,0.25
796,0.20
797,0.52
798,0.39
799,0.92
800,0.55
801,0.57
802,0.44
803,0.87
804,0.36
805,0.38
806,0.21
807,0.57
808,0.28
809,0.22
810,0.44
811,0.45
812,0.89
813,0.21
814,0.43
815,0.30
816,0.88
817,0.40
818,0.22
819,0.50
820,0.51
821,0.22
822,0.86
823,0.41
824,0.36
825,0.21
826,0.52
827,0.58
828,0.89
829,0.55
830,0.33
831,0.37
832,0.42
833,0.54
834,0.46
835,0.41
836,0.57
837,0.51
838,0.53
839,0.47
840,0.21
841,0.44
842,0.39
843,0.50
844,0.42
845,0.50
846,0.57
847,0.21
848,0.38
